Random Number,Steps,Cache Policy,Cache Hit
156,36,LFU,No
928,23,LFU,No
235,127,LFU,No
237,34,LFU,No
511,61,LFU,No
631,38,LFU,No
201,18,LFU,No
862,41,LFU,No
193,119,LFU,No
329,50,LFU,No
421,40,LFU,No
912,36,LFU,No
622,87,LFU,No
514,123,LFU,No
583,30,LFU,No
902,54,LFU,No
314,37,LFU,No
877,54,LFU,No
363,45,LFU,No
740,46,LFU,No
775,152,LFU,No
394,27,LFU,No
415,133,LFU,No
32,5,LFU,No
90,17,LFU,No
291,117,LFU,No
797,121,LFU,No
278,42,LFU,No
890,72,LFU,No
503,66,LFU,No
674,113,LFU,No
45,16,LFU,No
149,23,LFU,No
627,131,LFU,No
280,16,LFU,No
377,63,LFU,No
975,142,LFU,No
480,22,LFU,No
238,34,LFU,No
168,10,LFU,No
526,79,LFU,No
377,63,LFU,Yes
797,121,LFU,Yes
866,28,LFU,No
889,147,LFU,No
98,25,LFU,No
486,97,LFU,No
202,26,LFU,No
973,98,LFU,No
566,61,LFU,No
660,113,LFU,No
747,46,LFU,No
677,51,LFU,No
792,28,LFU,No
497,22,LFU,No
484,97,LFU,No
82,110,LFU,No
293,117,LFU,No
760,108,LFU,No
689,126,LFU,No
513,35,LFU,No
153,36,LFU,No
732,95,LFU,No
661,113,LFU,No
778,121,LFU,No
729,33,LFU,No
37,21,LFU,No
752,108,LFU,No
926,129,LFU,No
992,111,LFU,No
637,56,LFU,No
171,124,LFU,No
368,19,LFU,No
434,27,LFU,No
36,21,LFU,No
256,8,LFU,No
249,47,LFU,No
520,30,LFU,No
175,80,LFU,No
940,129,LFU,No
803,20,LFU,No
833,28,LFU,No
686,126,LFU,No
479,53,LFU,No
343,125,LFU,No
900,54,LFU,No
961,49,LFU,No
142,103,LFU,No
911,41,LFU,No
721,46,LFU,No
829,90,LFU,No
423,32,LFU,No
591,56,LFU,No
279,42,LFU,No
83,110,LFU,No
368,19,LFU,Yes
8,3,LFU,No
837,41,LFU,No
837,41,LFU,Yes
932,85,LFU,No
547,30,LFU,No
193,119,LFU,Yes
102,25,LFU,No
913,129,LFU,No
344,32,LFU,No
854,54,LFU,No
886,54,LFU,No
591,56,LFU,Yes
92,17,LFU,No
778,121,LFU,Yes
530,123,LFU,No
893,72,LFU,No
330,112,LFU,No
934,85,LFU,No
371,45,LFU,No
671,95,LFU,No
833,28,LFU,Yes
51,24,LFU,No
812,41,LFU,No
743,95,LFU,No
489,48,LFU,No
640,12,LFU,No
884,116,LFU,No
79,35,LFU,No
918,129,LFU,No
684,126,LFU,No
164,111,LFU,No
643,25,LFU,No
520,30,LFU,Yes
718,51,LFU,No
293,117,LFU,Yes
784,28,LFU,No
909,15,LFU,No
113,12,LFU,No
415,133,LFU,Yes
252,109,LFU,No
965,23,LFU,No
300,16,LFU,No
561,43,LFU,No
57,32,LFU,No
796,121,LFU,No
90,17,LFU,Yes
667,144,LFU,No
125,108,LFU,No
741,46,LFU,No
756,108,LFU,No
513,35,LFU,Yes
293,117,LFU,Yes
805,20,LFU,No
324,24,LFU,No
35,13,LFU,No
293,117,LFU,Yes
682,12,LFU,No
917,36,LFU,No
370,45,LFU,No
318,55,LFU,No
320,11,LFU,No
532,30,LFU,No
959,129,LFU,No
838,41,LFU,No
249,47,LFU,Yes
251,65,LFU,No
341,11,LFU,No
876,54,LFU,No
362,19,LFU,No
754,64,LFU,No
127,46,LFU,No
46,16,LFU,No
772,121,LFU,No
405,27,LFU,No
819,41,LFU,No
567,61,LFU,No
213,13,LFU,No
485,97,LFU,No
409,40,LFU,No
952,36,LFU,No
240,21,LFU,No
920,36,LFU,No
244,21,LFU,No
44,16,LFU,No
244,21,LFU,Yes
996,49,LFU,No
54,112,LFU,No
643,25,LFU,Yes
631,38,LFU,Yes
422,40,LFU,No
959,129,LFU,Yes
949,36,LFU,No
671,95,LFU,Yes
636,56,LFU,No
506,110,LFU,No
638,56,LFU,No
604,17,LFU,No
845,41,LFU,No
513,35,LFU,Yes
684,126,LFU,Yes
598,118,LFU,No
357,32,LFU,No
728,95,LFU,No
369,19,LFU,No
761,33,LFU,No
546,30,LFU,No
653,25,LFU,No
972,98,LFU,No
748,46,LFU,No
61,19,LFU,No
923,67,LFU,No
987,36,LFU,No
980,23,LFU,No
885,116,LFU,No
748,46,LFU,Yes
941,129,LFU,No
880,116,LFU,No
520,30,LFU,Yes
583,30,LFU,Yes
510,48,LFU,No
940,129,LFU,Yes
260,29,LFU,No
178,31,LFU,No
330,112,LFU,Yes
613,38,LFU,No
682,12,LFU,Yes
966,23,LFU,No
216,114,LFU,No
526,79,LFU,Yes
478,53,LFU,No
898,116,LFU,No
841,41,LFU,No
552,17,LFU,No
344,32,LFU,Yes
928,23,LFU,Yes
312,37,LFU,No
888,72,LFU,No
580,118,LFU,No
2,1,LFU,No
355,32,LFU,No
359,50,LFU,No
643,25,LFU,Yes
341,11,LFU,Yes
338,50,LFU,No
527,79,LFU,No
806,20,LFU,No
996,49,LFU,Yes
125,108,LFU,Yes
44,16,LFU,Yes
297,73,LFU,No
352,19,LFU,No
702,82,LFU,No
274,91,LFU,No
528,30,LFU,No
31,106,LFU,No
885,116,LFU,Yes
209,39,LFU,No
714,33,LFU,No
100,25,LFU,No
452,14,LFU,No
909,15,LFU,Yes
997,49,LFU,No
293,117,LFU,Yes
460,35,LFU,No
340,11,LFU,No
220,114,LFU,No
771,33,LFU,No
946,36,LFU,No
798,121,LFU,No
490,22,LFU,No
300,16,LFU,Yes
874,116,LFU,No
132,28,LFU,No
358,32,LFU,No
929,129,LFU,No
376,107,LFU,No
881,116,LFU,No
924,129,LFU,No
499,48,LFU,No
924,129,LFU,Yes
220,114,LFU,Yes
850,59,LFU,No
625,25,LFU,No
211,39,LFU,No
377,63,LFU,Yes
373,19,LFU,No
95,105,LFU,No
304,24,LFU,No
86,30,LFU,No
194,119,LFU,No
754,64,LFU,Yes
993,93,LFU,No
908,15,LFU,No
46,16,LFU,Yes
452,14,LFU,Yes
965,23,LFU,Yes
264,29,LFU,No
940,129,LFU,Yes
629,38,LFU,No
780,121,LFU,No
430,102,LFU,No
927,116,LFU,No
372,19,LFU,No
279,42,LFU,Yes
3,7,LFU,No
301,16,LFU,No
654,144,LFU,No
602,17,LFU,No
224,21,LFU,No
152,23,LFU,No
244,21,LFU,Yes
162,23,LFU,No
719,51,LFU,No
867,28,LFU,No
371,45,LFU,Yes
96,12,LFU,No
957,54,LFU,No
465,35,LFU,No
117,20,LFU,No
42,8,LFU,No
376,107,LFU,Yes
869,28,LFU,No
34,13,LFU,No
2,1,LFU,Yes
633,30,LFU,No
203,39,LFU,No
965,23,LFU,Yes
895,98,LFU,No
861,103,LFU,No
313,130,LFU,No
393,58,LFU,No
290,117,LFU,No
957,54,LFU,Yes
483,22,LFU,No
286,104,LFU,No
959,129,LFU,Yes
782,121,LFU,No
938,23,LFU,No
279,42,LFU,Yes
5,5,LFU,No
90,17,LFU,Yes
521,123,LFU,No
883,28,LFU,No
526,79,LFU,Yes
106,12,LFU,No
972,98,LFU,Yes
620,87,LFU,No
62,107,LFU,No
436,115,LFU,No
454,14,LFU,No
102,25,LFU,Yes
529,30,LFU,No
323,99,LFU,No
852,15,LFU,No
529,30,LFU,Yes
954,36,LFU,No
772,121,LFU,Yes
212,13,LFU,No
567,61,LFU,Yes
632,38,LFU,No
523,123,LFU,No
678,51,LFU,No
639,131,LFU,No
480,22,LFU,Yes
160,10,LFU,No
924,129,LFU,Yes
157,36,LFU,No
940,129,LFU,Yes
861,103,LFU,Yes
434,27,LFU,Yes
662,25,LFU,No
668,69,LFU,No
953,28,LFU,No
545,43,LFU,No
194,119,LFU,Yes
58,19,LFU,No
516,123,LFU,No
531,123,LFU,No
118,33,LFU,No
669,69,LFU,No
984,49,LFU,No
936,23,LFU,No
915,129,LFU,No
306,37,LFU,No
506,110,LFU,Yes
443,53,LFU,No
977,98,LFU,No
277,16,LFU,No
372,19,LFU,Yes
543,136,LFU,No
908,15,LFU,Yes
613,38,LFU,Yes
938,23,LFU,Yes
546,30,LFU,Yes
92,17,LFU,Yes
97,118,LFU,No
188,106,LFU,No
965,23,LFU,Yes
754,64,LFU,Yes
49,24,LFU,No
398,120,LFU,No
416,14,LFU,No
434,27,LFU,Yes
69,14,LFU,No
678,51,LFU,Yes
626,131,LFU,No
125,108,LFU,Yes
193,119,LFU,Yes
875,28,LFU,No
959,129,LFU,Yes
579,30,LFU,No
858,103,LFU,No
613,38,LFU,Yes
493,48,LFU,No
881,116,LFU,Yes
118,33,LFU,Yes
653,25,LFU,Yes
576,25,LFU,No
112,20,LFU,No
24,10,LFU,No
836,41,LFU,No
737,139,LFU,No
354,32,LFU,No
774,121,LFU,No
2,1,LFU,Yes
444,71,LFU,No
588,118,LFU,No
188,106,LFU,Yes
127,46,LFU,Yes
342,125,LFU,No
953,28,LFU,Yes
523,123,LFU,Yes
475,27,LFU,No
387,120,LFU,No
309,24,LFU,No
152,23,LFU,Yes
730,95,LFU,No
151,15,LFU,No
62,107,LFU,Yes
604,17,LFU,Yes
827,41,LFU,No
639,131,LFU,Yes
180,18,LFU,No
439,53,LFU,No
849,59,LFU,No
778,121,LFU,Yes
274,91,LFU,Yes
220,114,LFU,Yes
72,22,LFU,No
104,12,LFU,No
242,96,LFU,No
907,54,LFU,No
839,85,LFU,No
314,37,LFU,Yes
399,120,LFU,No
839,85,LFU,Yes
756,108,LFU,Yes
985,23,LFU,No
27,111,LFU,No
882,28,LFU,No
326,24,LFU,No
978,49,LFU,No
123,46,LFU,No
518,123,LFU,No
83,110,LFU,Yes
150,15,LFU,No
668,69,LFU,Yes
812,41,LFU,Yes
299,117,LFU,No
447,97,LFU,No
134,28,LFU,No
126,108,LFU,No
803,20,LFU,Yes
32,5,LFU,Yes
282,16,LFU,No
651,100,LFU,No
527,79,LFU,Yes
555,30,LFU,No
869,28,LFU,Yes
598,118,LFU,Yes
657,51,LFU,No
829,90,LFU,Yes
223,70,LFU,No
214,101,LFU,No
142,103,LFU,Yes
620,87,LFU,Yes
53,11,LFU,No
615,69,LFU,No
604,17,LFU,Yes
796,121,LFU,Yes
215,101,LFU,No
648,25,LFU,No
492,48,LFU,No
56,19,LFU,No
165,111,LFU,No
574,43,LFU,No
204,26,LFU,No
551,43,LFU,No
104,12,LFU,Yes
501,110,LFU,No
996,49,LFU,Yes
236,34,LFU,No
344,32,LFU,Yes
799,72,LFU,No
984,49,LFU,Yes
625,25,LFU,Yes
168,10,LFU,Yes
511,61,LFU,Yes
897,67,LFU,No
37,21,LFU,Yes
826,90,LFU,No
272,16,LFU,No
583,30,LFU,Yes
48,11,LFU,No
484,97,LFU,Yes
442,115,LFU,No
666,113,LFU,No
535,22,LFU,No
56,19,LFU,Yes
269,29,LFU,No
330,112,LFU,Yes
988,49,LFU,No
634,38,LFU,No
821,28,LFU,No
43,29,LFU,No
798,121,LFU,Yes
113,12,LFU,Yes
963,49,LFU,No
67,27,LFU,No
215,101,LFU,Yes
182,93,LFU,No
62,107,LFU,Yes
168,10,LFU,Yes
525,30,LFU,No
578,30,LFU,No
152,23,LFU,Yes
867,28,LFU,Yes
745,90,LFU,No
380,107,LFU,No
763,152,LFU,No
780,121,LFU,Yes
205,26,LFU,No
752,108,LFU,Yes
81,22,LFU,No
251,65,LFU,Yes
235,127,LFU,Yes
521,123,LFU,Yes
915,129,LFU,Yes
488,22,LFU,No
294,117,LFU,No
901,54,LFU,No
535,22,LFU,Yes
281,42,LFU,No
535,22,LFU,Yes
74,22,LFU,No
41,109,LFU,No
51,24,LFU,Yes
185,44,LFU,No
721,46,LFU,Yes
116,20,LFU,No
398,120,LFU,Yes
902,54,LFU,Yes
176,18,LFU,No
284,104,LFU,No
145,116,LFU,No
753,20,LFU,No
434,27,LFU,Yes
11,14,LFU,No
216,114,LFU,Yes
812,41,LFU,Yes
491,141,LFU,No
713,25,LFU,No
16,4,LFU,No
242,96,LFU,Yes
792,28,LFU,Yes
983,142,LFU,No
475,27,LFU,Yes
31,106,LFU,Yes
897,67,LFU,Yes
961,49,LFU,Yes
323,99,LFU,Yes
516,123,LFU,Yes
496,110,LFU,No
322,99,LFU,No
50,24,LFU,No
568,105,LFU,No
80,9,LFU,No
99,25,LFU,No
471,128,LFU,No
800,28,LFU,No
931,36,LFU,No
586,118,LFU,No
701,82,LFU,No
825,134,LFU,No
868,28,LFU,No
844,41,LFU,No
296,24,LFU,No
301,16,LFU,Yes
572,105,LFU,No
510,48,LFU,Yes
830,134,LFU,No
62,107,LFU,Yes
222,70,LFU,No
563,43,LFU,No
302,16,LFU,No
13,9,LFU,No
545,43,LFU,Yes
494,48,LFU,No
42,8,LFU,Yes
160,10,LFU,Yes
174,31,LFU,No
82,110,LFU,Yes
675,113,LFU,No
387,120,LFU,Yes
121,95,LFU,No
723,46,LFU,No
953,28,LFU,Yes
200,26,LFU,No
540,43,LFU,No
142,103,LFU,Yes
717,33,LFU,No
470,128,LFU,No
727,46,LFU,No
417,133,LFU,No
13,9,LFU,Yes
594,74,LFU,No
978,49,LFU,Yes
307,37,LFU,No
613,38,LFU,Yes
549,92,LFU,No
815,134,LFU,No
442,115,LFU,Yes
609,131,LFU,No
36,21,LFU,Yes
5,5,LFU,Yes
628,38,LFU,No
47,104,LFU,No
267,21,LFU,No
121,95,LFU,Yes
805,20,LFU,Yes
426,14,LFU,No
12,9,LFU,No
605,17,LFU,No
100,25,LFU,Yes
397,27,LFU,No
724,20,LFU,No
540,43,LFU,Yes
69,14,LFU,Yes
641,51,LFU,No
797,121,LFU,Yes
209,39,LFU,Yes
357,32,LFU,Yes
985,23,LFU,Yes
934,85,LFU,Yes
491,141,LFU,Yes
996,49,LFU,Yes
247,47,LFU,No
468,22,LFU,No
303,42,LFU,No
858,103,LFU,Yes
734,46,LFU,No
117,20,LFU,Yes
18,20,LFU,No
61,19,LFU,Yes
152,23,LFU,Yes
739,20,LFU,No
687,38,LFU,No
915,129,LFU,Yes
6,8,LFU,No
526,79,LFU,Yes
439,53,LFU,Yes
149,23,LFU,Yes
255,47,LFU,No
43,29,LFU,Yes
965,23,LFU,Yes
651,100,LFU,Yes
484,97,LFU,Yes
223,70,LFU,Yes
718,51,LFU,Yes
125,108,LFU,Yes
20,7,LFU,No
925,129,LFU,No
480,22,LFU,Yes
4,2,LFU,No
578,30,LFU,Yes
970,98,LFU,No
717,33,LFU,Yes
823,134,LFU,No
156,36,LFU,Yes
19,20,LFU,No
399,120,LFU,Yes
889,147,LFU,Yes
853,15,LFU,No
415,133,LFU,Yes
948,36,LFU,No
722,46,LFU,No
872,116,LFU,No
354,32,LFU,Yes
636,56,LFU,Yes
595,74,LFU,No
597,25,LFU,No
74,22,LFU,Yes
742,46,LFU,No
850,59,LFU,Yes
